iter	Passed	Remaining
941	31484	1938
942	31514	1904
943	31544	1871
944	31570	1837
945	31602	1803
946	31632	1770
947	31667	1737
948	31697	1703
949	31723	1669
950	31751	1635
951	31780	1602
952	31816	1569
953	31843	1535
954	31874	1501
955	31904	1468
956	31936	1434
957	31964	1401
958	31992	1367
959	32025	1334
960	32057	1300
961	32095	1267
962	32137	1234
963	32168	1201
964	32198	1167
965	32229	1134
966	32257	1100
967	32285	1067
968	32314	1033
969	32352	1000
970	32381	967
971	32413	933
972	32444	900
973	32473	866
974	32509	833
975	32539	800
976	32573	766
977	32599	733
978	32629	699
979	32662	666
980	32691	633
981	32723	599
982	32754	566
983	32784	533
984	32813	499
985	32841	466
986	32873	432
987	32900	399
988	32929	366
989	32965	332
990	32995	299
991	33023	266
992	33050	232
993	33080	199
994	33113	166
995	33140	133
996	33172	99
997	33208	66
998	33237	33
999	33271	0
